Date,GOOGL
2/23/2016 16:00:00,35.86
2/24/2016 16:00:00,36.05
2/25/2016 16:00:00,36.46
2/26/2016 16:00:00,36.24
2/29/2016 16:00:00,35.86
3/1/2016 16:00:00,37.11
3/2/2016 16:00:00,36.97
3/3/2016 16:00:00,36.58
3/4/2016 16:00:00,36.51
3/7/2016 16:00:00,35.64
3/8/2016 16:00:00,35.68
3/9/2016 16:00:00,36.27
3/10/2016 16:00:00,36.61
3/11/2016 16:00:00,37.24
3/14/2016 16:00:00,37.51
3/15/2016 16:00:00,37.53
3/16/2016 16:00:00,37.87
3/17/2016 16:00:00,37.92
3/18/2016 16:00:00,37.77
3/21/2016 16:00:00,38.11
3/22/2016 16:00:00,38
3/23/2016 16:00:00,37.88
3/24/2016 16:00:00,37.74
3/28/2016 16:00:00,37.66
3/29/2016 16:00:00,38.29
3/30/2016 16:00:00,38.42
3/31/2016 16:00:00,38.15
4/1/2016 16:00:00,38.48
4/4/2016 16:00:00,38.26
4/5/2016 16:00:00,37.93
4/6/2016 16:00:00,38.4
4/7/2016 16:00:00,38.01
4/8/2016 16:00:00,37.97
4/11/2016 16:00:00,37.88
4/12/2016 16:00:00,38.22
4/13/2016 16:00:00,38.6
4/14/2016 16:00:00,38.77
4/15/2016 16:00:00,39
4/18/2016 16:00:00,39.38
4/19/2016 16:00:00,38.81
4/20/2016 16:00:00,38.75
4/21/2016 16:00:00,39
4/22/2016 16:00:00,36.89
4/25/2016 16:00:00,37.11
4/26/2016 16:00:00,36.27
4/27/2016 16:00:00,36.07
4/28/2016 16:00:00,35.25
4/29/2016 16:00:00,35.39
5/2/2016 16:00:00,35.72
5/3/2016 16:00:00,35.42
5/4/2016 16:00:00,35.57
5/5/2016 16:00:00,35.74
5/6/2016 16:00:00,36.26
5/9/2016 16:00:00,36.46
5/10/2016 16:00:00,36.97
5/11/2016 16:00:00,36.53
5/12/2016 16:00:00,36.4
5/13/2016 16:00:00,36.24
5/16/2016 16:00:00,36.52
5/17/2016 16:00:00,36.01
5/18/2016 16:00:00,36.09
5/19/2016 16:00:00,35.77
5/20/2016 16:00:00,36.09
5/23/2016 16:00:00,35.86
5/24/2016 16:00:00,36.65
5/25/2016 16:00:00,36.91
5/26/2016 16:00:00,36.85
5/27/2016 16:00:00,37.38
5/31/2016 16:00:00,37.44
6/1/2016 16:00:00,37.42
6/2/2016 16:00:00,37.21
6/3/2016 16:00:00,36.79
6/6/2016 16:00:00,36.5
6/7/2016 16:00:00,36.55
6/8/2016 16:00:00,37.15
6/9/2016 16:00:00,37.13
6/10/2016 16:00:00,36.66
6/13/2016 16:00:00,36.59
6/14/2016 16:00:00,36.66
6/15/2016 16:00:00,36.61
6/16/2016 16:00:00,36.21
6/17/2016 16:00:00,35.21
6/20/2016 16:00:00,35.31
6/21/2016 16:00:00,35.44
6/22/2016 16:00:00,35.52
6/23/2016 16:00:00,35.74
6/24/2016 16:00:00,34.26
6/27/2016 16:00:00,34.06
6/28/2016 16:00:00,34.56
6/29/2016 16:00:00,34.76
6/30/2016 16:00:00,35.18
7/1/2016 16:00:00,35.51
7/5/2016 16:00:00,35.24
7/6/2016 16:00:00,35.45
7/7/2016 16:00:00,35.36
7/8/2016 16:00:00,35.89
7/11/2016 16:00:00,36.36
7/12/2016 16:00:00,36.63
7/13/2016 16:00:00,36.47
7/14/2016 16:00:00,36.79
7/15/2016 16:00:00,36.78
7/18/2016 16:00:00,37.66
7/19/2016 16:00:00,37.67
7/20/2016 16:00:00,37.85
7/21/2016 16:00:00,37.72
7/22/2016 16:00:00,37.96
7/25/2016 16:00:00,37.88
7/26/2016 16:00:00,37.88
7/27/2016 16:00:00,38.1
7/28/2016 16:00:00,38.29
7/29/2016 16:00:00,39.57
8/1/2016 16:00:00,40.05
8/2/2016 16:00:00,40.01
8/3/2016 16:00:00,39.95
8/4/2016 16:00:00,39.86
8/5/2016 16:00:00,40.35
8/8/2016 16:00:00,40.26
8/9/2016 16:00:00,40.37
8/10/2016 16:00:00,40.42
8/11/2016 16:00:00,40.41
8/12/2016 16:00:00,40.35
8/15/2016 16:00:00,40.3
8/16/2016 16:00:00,40.06
8/17/2016 16:00:00,40.27
8/18/2016 16:00:00,40.14
8/19/2016 16:00:00,39.98
8/22/2016 16:00:00,39.85
8/23/2016 16:00:00,39.83
8/24/2016 16:00:00,39.68
8/25/2016 16:00:00,39.57
8/26/2016 16:00:00,39.66
8/29/2016 16:00:00,39.79
8/30/2016 16:00:00,39.6
8/31/2016 16:00:00,39.49
9/1/2016 16:00:00,39.57
9/2/2016 16:00:00,39.84
9/6/2016 16:00:00,40.4
9/7/2016 16:00:00,40.4
9/8/2016 16:00:00,40.14
9/9/2016 16:00:00,39.42
9/12/2016 16:00:00,39.94
9/13/2016 16:00:00,39.44
9/14/2016 16:00:00,39.52
9/15/2016 16:00:00,40.06
9/16/2016 16:00:00,39.9
9/19/2016 16:00:00,39.77
9/20/2016 16:00:00,39.99
9/21/2016 16:00:00,40.25
9/22/2016 16:00:00,40.8
9/23/2016 16:00:00,40.75
9/26/2016 16:00:00,40.13
9/27/2016 16:00:00,40.54
9/28/2016 16:00:00,40.5
9/29/2016 16:00:00,40.13
9/30/2016 16:00:00,40.2
10/3/2016 16:00:00,40.02
10/4/2016 16:00:00,40.14
10/5/2016 16:00:00,40.06
10/6/2016 16:00:00,40.15
10/7/2016 16:00:00,40.04
10/10/2016 16:00:00,40.71
10/11/2016 16:00:00,40.48
10/12/2016 16:00:00,40.59
10/13/2016 16:00:00,40.2
10/14/2016 16:00:00,40.23
10/17/2016 16:00:00,40.34
10/18/2016 16:00:00,41.07
10/19/2016 16:00:00,41.35
10/20/2016 16:00:00,41.08
10/21/2016 16:00:00,41.2
10/24/2016 16:00:00,41.79
10/25/2016 16:00:00,41.43
10/26/2016 16:00:00,41.11
10/27/2016 16:00:00,40.87
10/28/2016 16:00:00,40.98
10/31/2016 16:00:00,40.49
11/1/2016 16:00:00,40.27
11/2/2016 16:00:00,39.42
11/3/2016 16:00:00,39.11
11/4/2016 16:00:00,39.06
11/7/2016 16:00:00,40.1
11/8/2016 16:00:00,40.6
11/9/2016 16:00:00,40.28
11/10/2016 16:00:00,39.01
11/11/2016 16:00:00,38.59
11/14/2016 16:00:00,37.66
11/15/2016 16:00:00,38.76
11/16/2016 16:00:00,39
11/17/2016 16:00:00,39.31
11/18/2016 16:00:00,38.8
11/21/2016 16:00:00,39.24
11/22/2016 16:00:00,39.25
11/23/2016 16:00:00,38.95
11/25/2016 16:00:00,39.01
11/28/2016 16:00:00,39.29
11/29/2016 16:00:00,39.47
11/30/2016 16:00:00,38.79
12/1/2016 16:00:00,38.22
12/2/2016 16:00:00,38.22
12/5/2016 16:00:00,38.91
12/6/2016 16:00:00,38.81
12/7/2016 16:00:00,39.57
12/8/2016 16:00:00,39.76
12/9/2016 16:00:00,40.47
12/12/2016 16:00:00,40.4
12/13/2016 16:00:00,40.77
12/14/2016 16:00:00,40.89
12/15/2016 16:00:00,40.78
12/16/2016 16:00:00,40.49
12/19/2016 16:00:00,40.63
12/20/2016 16:00:00,40.76
12/21/2016 16:00:00,40.61
12/22/2016 16:00:00,40.48
12/23/2016 16:00:00,40.39
12/27/2016 16:00:00,40.5
12/28/2016 16:00:00,40.23
12/29/2016 16:00:00,40.14
12/30/2016 16:00:00,39.62
1/3/2017 16:00:00,40.4
1/4/2017 16:00:00,40.39
1/5/2017 16:00:00,40.65
1/6/2017 16:00:00,41.26
1/9/2017 16:00:00,41.36
1/10/2017 16:00:00,41.3
1/11/2017 16:00:00,41.49
1/12/2017 16:00:00,41.48
1/13/2017 16:00:00,41.55
1/17/2017 16:00:00,41.37
1/18/2017 16:00:00,41.45
1/19/2017 16:00:00,41.22
1/20/2017 16:00:00,41.41
1/23/2017 16:00:00,42.22
1/24/2017 16:00:00,42.48
1/25/2017 16:00:00,42.92
1/26/2017 16:00:00,42.85
1/27/2017 16:00:00,42.25
1/30/2017 16:00:00,41.19
1/31/2017 16:00:00,41.01
2/1/2017 16:00:00,40.76
2/2/2017 16:00:00,40.91
2/3/2017 16:00:00,41.01
2/6/2017 16:00:00,41.08
2/7/2017 16:00:00,41.46
2/8/2017 16:00:00,41.49
2/9/2017 16:00:00,41.5
2/10/2017 16:00:00,41.74
2/13/2017 16:00:00,41.95
2/14/2017 16:00:00,42
2/15/2017 16:00:00,41.87
2/16/2017 16:00:00,42.11
2/17/2017 16:00:00,42.33
2/21/2017 16:00:00,42.46
2/22/2017 16:00:00,42.57
2/23/2017 16:00:00,42.55
2/24/2017 16:00:00,42.39
2/27/2017 16:00:00,42.48
2/28/2017 16:00:00,42.25
3/1/2017 16:00:00,42.84
3/2/2017 16:00:00,42.49
3/3/2017 16:00:00,42.45
3/6/2017 16:00:00,42.36
3/7/2017 16:00:00,42.56
3/8/2017 16:00:00,42.68
3/9/2017 16:00:00,42.89
3/10/2017 16:00:00,43.07
3/13/2017 16:00:00,43.23
3/14/2017 16:00:00,43.3
3/15/2017 16:00:00,43.42
3/16/2017 16:00:00,43.5
3/17/2017 16:00:00,43.62
3/20/2017 16:00:00,43.4
3/21/2017 16:00:00,42.51
3/22/2017 16:00:00,42.49
3/23/2017 16:00:00,41.98
3/24/2017 16:00:00,41.76
3/27/2017 16:00:00,41.93
3/28/2017 16:00:00,42.03
3/29/2017 16:00:00,42.49
3/30/2017 16:00:00,42.47
3/31/2017 16:00:00,42.39
4/3/2017 16:00:00,42.84
4/4/2017 16:00:00,42.63
4/5/2017 16:00:00,42.45
4/6/2017 16:00:00,42.25
4/7/2017 16:00:00,42.11
4/10/2017 16:00:00,42.09
4/11/2017 16:00:00,41.99
4/12/2017 16:00:00,42.07
4/13/2017 16:00:00,42.01
4/17/2017 16:00:00,42.76
4/18/2017 16:00:00,42.7
4/19/2017 16:00:00,42.83
4/20/2017 16:00:00,43
4/21/2017 16:00:00,42.95
4/24/2017 16:00:00,43.95
4/25/2017 16:00:00,44.44
4/26/2017 16:00:00,44.46
4/27/2017 16:00:00,44.57
4/28/2017 16:00:00,46.23
5/1/2017 16:00:00,46.64
5/2/2017 16:00:00,46.85
5/3/2017 16:00:00,47.42
5/4/2017 16:00:00,47.74
5/5/2017 16:00:00,47.51
5/8/2017 16:00:00,47.93
5/9/2017 16:00:00,47.84
5/10/2017 16:00:00,47.74
5/11/2017 16:00:00,47.79
5/12/2017 16:00:00,47.76
5/15/2017 16:00:00,47.96
5/16/2017 16:00:00,48.23
5/17/2017 16:00:00,47.11
5/18/2017 16:00:00,47.53
5/19/2017 16:00:00,47.73
5/22/2017 16:00:00,48.2
5/23/2017 16:00:00,48.53
5/24/2017 16:00:00,48.88
5/25/2017 16:00:00,49.59
5/26/2017 16:00:00,49.66
5/30/2017 16:00:00,49.81
5/31/2017 16:00:00,49.35
6/1/2017 16:00:00,49.41
6/2/2017 16:00:00,49.81
6/5/2017 16:00:00,50.19
6/6/2017 16:00:00,49.83
6/7/2017 16:00:00,50.08
6/8/2017 16:00:00,50.21
6/9/2017 16:00:00,48.51
6/12/2017 16:00:00,48.09
6/13/2017 16:00:00,48.53
6/14/2017 16:00:00,48.4
6/15/2017 16:00:00,48.01
6/16/2017 16:00:00,47.93
6/19/2017 16:00:00,48.76
6/20/2017 16:00:00,48.45
6/21/2017 16:00:00,48.93
6/22/2017 16:00:00,48.83
6/23/2017 16:00:00,49.3
6/26/2017 16:00:00,48.6
6/27/2017 16:00:00,47.4
6/28/2017 16:00:00,48.05
6/29/2017 16:00:00,46.89
6/30/2017 16:00:00,46.48
7/3/2017 16:00:00,45.97
7/5/2017 16:00:00,46.61
7/6/2017 16:00:00,46.38
7/7/2017 16:00:00,47.04
7/10/2017 16:00:00,47.55
7/11/2017 16:00:00,47.68
7/12/2017 16:00:00,48.38
7/13/2017 16:00:00,48.44
7/14/2017 16:00:00,48.85
7/17/2017 16:00:00,48.8
7/18/2017 16:00:00,49.35
7/19/2017 16:00:00,49.64
7/20/2017 16:00:00,49.61
7/21/2017 16:00:00,49.69
7/24/2017 16:00:00,49.92
7/25/2017 16:00:00,48.45
7/26/2017 16:00:00,48.27
7/27/2017 16:00:00,47.63
7/28/2017 16:00:00,47.92
7/31/2017 16:00:00,47.28
8/1/2017 16:00:00,47.33
8/2/2017 16:00:00,47.38
8/3/2017 16:00:00,47.02
8/4/2017 16:00:00,47.29
8/7/2017 16:00:00,47.29
8/8/2017 16:00:00,47.21
8/9/2017 16:00:00,47
8/10/2017 16:00:00,46.18
8/11/2017 16:00:00,46.5
8/14/2017 16:00:00,46.95
8/15/2017 16:00:00,46.9
8/16/2017 16:00:00,47.21
8/17/2017 16:00:00,46.38
8/18/2017 16:00:00,46.31
8/21/2017 16:00:00,46.04
8/22/2017 16:00:00,47.02
8/23/2017 16:00:00,47.13
8/24/2017 16:00:00,46.84
8/25/2017 16:00:00,46.53
8/28/2017 16:00:00,46.41
8/29/2017 16:00:00,46.79
8/30/2017 16:00:00,47.18
8/31/2017 16:00:00,47.76
9/1/2017 16:00:00,47.6
9/5/2017 16:00:00,47.07
9/6/2017 16:00:00,47.1
9/7/2017 16:00:00,47.49
9/8/2017 16:00:00,47.07
9/11/2017 16:00:00,47.16
9/12/2017 16:00:00,47.33
9/13/2017 16:00:00,47.52
9/14/2017 16:00:00,47.01
9/15/2017 16:00:00,46.76
9/18/2017 16:00:00,46.49
9/19/2017 16:00:00,46.84
9/20/2017 16:00:00,47.38
9/21/2017 16:00:00,47.38
9/22/2017 16:00:00,47.16
9/25/2017 16:00:00,46.71
9/26/2017 16:00:00,46.87
9/27/2017 16:00:00,48
9/28/2017 16:00:00,48.24
9/29/2017 16:00:00,48.69
10/2/2017 16:00:00,48.37
10/3/2017 16:00:00,48.6
10/4/2017 16:00:00,48.34
10/5/2017 16:00:00,49.26
10/6/2017 16:00:00,49.68
10/9/2017 16:00:00,49.62
10/10/2017 16:00:00,49.39
10/11/2017 16:00:00,50.28
10/12/2017 16:00:00,50.28
10/13/2017 16:00:00,50.39
10/16/2017 16:00:00,50.47
10/17/2017 16:00:00,50.55
10/18/2017 16:00:00,50.64
10/19/2017 16:00:00,50.09
10/20/2017 16:00:00,50.25
10/23/2017 16:00:00,49.28
10/24/2017 16:00:00,49.42
10/25/2017 16:00:00,49.57
10/26/2017 16:00:00,49.57
10/27/2017 16:00:00,51.68
10/30/2017 16:00:00,51.66
10/31/2017 16:00:00,51.65
11/1/2017 16:00:00,52.13
11/2/2017 16:00:00,52.15
11/3/2017 16:00:00,52.5
11/6/2017 16:00:00,52.13
11/7/2017 16:00:00,52.62
11/8/2017 16:00:00,52.91
11/9/2017 16:00:00,52.39
11/10/2017 16:00:00,52.21
11/13/2017 16:00:00,52.06
11/14/2017 16:00:00,52.08
11/15/2017 16:00:00,51.82
