Date,AMZN
8/22/2023 16:00:00,134.25
8/23/2023 16:00:00,135.52
8/24/2023 16:00:00,131.84
8/25/2023 16:00:00,133.26
8/28/2023 16:00:00,133.14
8/29/2023 16:00:00,134.91
8/30/2023 16:00:00,135.07
8/31/2023 16:00:00,138.01
9/1/2023 16:00:00,138.12
9/5/2023 16:00:00,137.27
9/6/2023 16:00:00,135.36
9/7/2023 16:00:00,137.85
9/8/2023 16:00:00,138.23
9/11/2023 16:00:00,143.1
9/12/2023 16:00:00,141.23
9/13/2023 16:00:00,144.85
9/14/2023 16:00:00,144.72
9/15/2023 16:00:00,140.39
9/18/2023 16:00:00,139.98
9/19/2023 16:00:00,137.63
9/20/2023 16:00:00,135.29
9/21/2023 16:00:00,129.33
9/22/2023 16:00:00,129.12
9/25/2023 16:00:00,131.27
9/26/2023 16:00:00,125.98
9/27/2023 16:00:00,125.98
9/28/2023 16:00:00,125.98
9/29/2023 16:00:00,127.12
10/2/2023 16:00:00,129.46
10/3/2023 16:00:00,124.72
10/4/2023 16:00:00,127
10/5/2023 16:00:00,125.96
10/6/2023 16:00:00,127.96
10/9/2023 16:00:00,128.26
10/10/2023 16:00:00,129.48
10/11/2023 16:00:00,131.83
10/12/2023 16:00:00,132.33
10/13/2023 16:00:00,129.79
10/16/2023 16:00:00,132.55
10/17/2023 16:00:00,131.47
10/18/2023 16:00:00,128.13
10/19/2023 16:00:00,128.4
10/20/2023 16:00:00,125.17
10/23/2023 16:00:00,126.56
10/24/2023 16:00:00,128.56
10/25/2023 16:00:00,121.39
10/26/2023 16:00:00,119.57
10/27/2023 16:00:00,127.74
10/30/2023 16:00:00,132.71
10/31/2023 16:00:00,133.09
11/1/2023 16:00:00,137
11/2/2023 16:00:00,138.07
11/3/2023 16:00:00,138.6
11/6/2023 16:00:00,139.74
11/7/2023 16:00:00,142.71
11/8/2023 16:00:00,142.08
11/9/2023 16:00:00,140.6
11/10/2023 16:00:00,143.56
11/13/2023 16:00:00,142.59
11/14/2023 16:00:00,145.8
11/15/2023 16:00:00,143.2
11/16/2023 16:00:00,142.83
11/17/2023 16:00:00,145.18
11/20/2023 16:00:00,146.13
11/21/2023 16:00:00,143.9
11/22/2023 16:00:00,146.71
11/24/2023 13:05:00,146.74
11/27/2023 16:00:00,147.73
11/28/2023 16:00:00,147.03
11/29/2023 16:00:00,146.32
11/30/2023 16:00:00,146.09
12/1/2023 16:00:00,147.03
12/4/2023 16:00:00,144.84
12/5/2023 16:00:00,146.88
12/6/2023 16:00:00,144.52
12/7/2023 16:00:00,146.88
12/8/2023 16:00:00,147.42
12/11/2023 16:00:00,145.89
12/12/2023 16:00:00,147.48
12/13/2023 16:00:00,148.84
12/14/2023 16:00:00,147.42
12/15/2023 16:00:00,149.97
12/18/2023 16:00:00,154.07
12/19/2023 16:00:00,153.79
